74개 기초자치단체 / 인구 10만 명당 진단 수 / 201101~202006 월단위,,,,,,,,
,,,,,,,,
,,,,,,,,
연월,시군구코드,시도,시군구,"폐암
(C34)","만성폐쇄성폐질환
(J44)","하기도감염
(J20-22)","허혈성심질환
(I20-22)","뇌졸중
(I60-64)"
201105,11620,서울특별시,관악구,129.4,202.7,15284.7,533.6,644.6
201105,11650,서울특별시,서초구,154.3,150.2,13600.1,674.6,708.8
201105,11680,서울특별시,강남구,134.3,221.7,13310.2,560.4,573.3
201105,11710,서울특별시,송파구,146.7,188.1,15679.2,506.9,579.1
201105,11740,서울특별시,강동구,147.6,184,13361.3,566.7,640
201105,26110,부산광역시,중구,94.5,180.8,13823.3,897.6,838
201105,26140,부산광역시,서구,150.3,249,13816.1,708.1,963.5
201105,26170,부산광역시,동구,112.5,204.1,11468.8,770.8,975.9
201105,26200,부산광역시,영도구,137.6,202.5,14605.6,736,842.1
201105,26230,부산광역시,부산진구,114.9,184.8,17317.3,777.9,771.3
201105,26260,부산광역시,동래구,148.4,180.4,16029.4,870.9,810.9
201105,26290,부산광역시,남구,117.2,149.4,16680.6,853.2,824.7
201105,26320,부산광역시,북구,85.4,158.4,15802.6,681.8,663.3
201105,26350,부산광역시,해운대구,121,264.8,14613.3,787.3,795.1
201105,26380,부산광역시,사하구,111.4,140.1,16973.7,677.5,834.2
201105,26410,부산광역시,금정구,119.3,220.2,12423.1,850,777.7
201105,26440,부산광역시,강서구,111.2,211.6,19155.6,1033.5,755.4
201105,26470,부산광역시,연제구,148.1,187.5,13744.2,1062.7,865.8
201105,26500,부산광역시,수영구,159.6,204.9,12357.7,981.4,786.7
201105,26530,부산광역시,사상구,112,176.5,17219.2,600.2,746
201105,26710,부산광역시,기장군,120.3,219.3,22442.3,829.8,720.7
201105,27110,대구광역시,중구,197.1,336.8,14348.6,874.7,937.3
201105,27140,대구광역시,동구,136.6,288.4,15645.4,607,888.3
201105,27170,대구광역시,서구,116.8,233.6,14509.5,606,861.6
201105,27200,대구광역시,남구,114.7,236,12506,693.1,993.5
201105,27230,대구광역시,북구,115.2,244.6,19478,572.3,861.3
201105,27260,대구광역시,수성구,113.6,267.8,15330.9,689,844.8
201105,27290,대구광역시,달서구,115.6,273.8,19004.8,537.6,834.6
201105,27710,대구광역시,달성군,117,369.8,23254.1,534.5,835.6
201105,28110,인천광역시,중구,146.4,344.1,20370.6,556.7,876.2
201105,28140,인천광역시,동구,106.7,629,21002.1,476.5,813.3
201105,28170,인천광역시,남구,106,248.1,17936.1,591.6,689.2
201105,28185,인천광역시,연수구,129.6,201.8,15030.4,465.8,653.7
201105,28200,인천광역시,남동구,103.7,250.5,21885.1,565.1,596.6
201105,28237,인천광역시,부평구,116.1,213,18804.3,496,606.7
201105,28245,인천광역시,계양구,99,186.8,15830.4,441.8,604.4
201105,28260,인천광역시,서구,99.1,174.5,21051.8,429,523.7
201105,28710,인천광역시,강화군,152.7,402.8,12650.7,745.7,681.4
201105,28720,인천광역시,옹진군,138.6,246.3,11039.3,677.4,785.2
201105,29110,광주광역시,동구,111.7,512.7,9206.1,1065.8,645.1
201105,29140,광주광역시,서구,123.3,252.3,13462.5,724.4,543.8
201105,29155,광주광역시,남구,104.5,362.9,12331.5,847.8,597.6
201105,29170,광주광역시,북구,106,313.2,14990,884.8,552.3
201105,29200,광주광역시,광산구,110,280.2,17253.1,567.8,569.6
